code,start_date,end_date
sh.600763,2022-08-12,2022-09-26
sz.300597,2022-03-29,2022-05-17
sh.603300,2022-07-20,2022-08-31
sz.002105,2024-01-17,2024-03-07
sh.688315,2021-11-29,2022-01-11
sz.300316,2022-04-11,2022-05-26
sz.003026,2022-04-19,2022-06-06
sz.002409,2022-01-19,2022-03-09
sz.300368,2022-01-24,2022-03-14
sz.300721,2022-09-22,2022-11-10
sz.301020,2024-01-23,2024-03-13
sh.605155,2024-01-18,2024-03-08
sz.000514,2022-09-21,2022-11-09
sz.300055,2024-01-19,2024-03-11
sh.688010,2024-04-01,2024-05-20
sz.301299,2024-04-01,2024-05-20
sz.300739,2021-01-21,2021-03-11
sz.300620,2023-10-09,2023-11-20
sz.300568,2021-09-22,2021-11-10
sh.600536,2023-04-20,2023-06-06
sz.002510,2022-08-18,2022-09-30
sz.002560,2022-09-22,2022-11-10
sz.300812,2024-03-21,2024-05-09
sh.603232,2024-01-23,2024-03-13
sz.300561,2021-01-26,2021-03-16
sz.300138,2024-03-29,2024-05-17
sh.688569,2023-07-31,2023-09-11
sh.603416,2024-01-09,2024-02-28
sz.301326,2023-04-21,2023-06-07
sh.603976,2024-03-29,2024-05-17
sz.301132,2024-07-16,2024-08-27
sh.688408,2021-11-22,2022-01-04
sh.688552,2024-08-13,2024-09-26
sh.601702,2021-09-13,2021-11-03
sh.688173,2022-09-20,2022-11-08
sz.300715,2024-01-22,2024-03-12
sh.603988,2021-04-09,2021-05-26
sz.000728,2022-04-20,2022-06-07
sh.688039,2022-04-18,2022-06-02
sh.688077,2024-01-18,2024-03-08
sz.300812,2024-01-19,2024-03-11
sz.300187,2021-09-02,2021-10-25
sz.002177,2022-04-19,2022-06-07
sz.300101,2024-04-02,2024-05-21
sz.000615,2024-01-23,2024-03-13
sz.002899,2024-01-25,2024-03-15
sz.300324,2024-01-29,2024-03-19
sh.688226,2022-08-18,2022-09-30
sh.600172,2021-12-27,2022-02-15
sz.300212,2024-03-13,2024-04-26
sh.688638,2024-01-22,2024-03-12
sh.688125,2023-08-04,2023-09-15
sz.300049,2022-05-16,2022-06-28
sz.002645,2022-02-25,2022-04-12
sh.603129,2021-02-09,2021-03-30
sh.603960,2022-01-18,2022-03-08
sz.000921,2024-06-19,2024-07-31
sh.603390,2023-11-09,2023-12-21
sh.600619,2024-01-22,2024-03-12
sz.002152,2021-01-21,2021-03-11
sh.600467,2024-05-27,2024-07-09
sz.000837,2021-01-21,2021-03-11
sz.002876,2024-01-26,2024-03-18
sz.300493,2024-11-13,2024-12-25
sz.002656,2022-09-15,2022-11-03
sz.300729,2021-04-23,2021-06-09
sz.000042,2024-01-29,2024-03-19
sh.688017,2022-09-13,2022-11-01
sz.300889,2022-09-09,2022-10-31
sz.002410,2024-01-23,2024-03-13
sz.300204,2022-01-14,2022-03-04
sh.603878,2022-04-19,2022-06-06
sz.002290,2024-11-14,2024-12-26
sh.688261,2024-06-21,2024-08-02
sh.600078,2022-08-23,2022-10-12
sz.002414,2022-09-09,2022-10-31
sz.300397,2021-01-21,2021-03-11
sz.300163,2024-04-09,2024-05-27
sz.300725,2023-08-14,2023-09-25
sh.603383,2022-12-05,2023-01-17
sh.603258,2022-04-07,2022-05-24
sz.002956,2022-04-12,2022-05-27
sz.003036,2022-01-13,2022-03-03
sz.300949,2022-04-20,2022-06-07
sz.000818,2023-11-23,2024-01-05
sz.000012,2021-01-21,2021-03-11
sz.300793,2024-01-23,2024-03-13
